Message,Message ID,Name,Startbit,Length [Bit],Comment
BCL,0x181056F4,CurrentDemand,16,16,Current demand (A)
BCL,0x181056F4,VoltageDemand,0,16,Voltage demand (V)
BEM,0x81E56F4,Timeout_CCS,16,2,Timeout  of  charger's  charging  state  message
BEM,0x81E56F4,Timeout_CRO,10,2,Timeout of charger's charging preparation completion message
BEM,0x81E56F4,Timeout_CRO_NotReady,0,2,Timeout of CRO with SPN2560=0×00
BEM,0x81E56F4,Timeout_CRO_Ready,2,2,Timeout of CRO with SPN2560=0×AA
BEM,0x81E56F4,Timeout_CSD,24,2,Timeout of charger's charging statistics message
BEM,0x81E56F4,Timeout_CST,18,2,Timeout of charger's charging suspension message
BEM,0x81E56F4,Timeout_CTS_CML,8,2,Timeout of charger time synchronization message and charger maximum output capacity message
BHM,0x182756F4,MaxChargingVoltage,0,16,Total maximum permissible charging voltage
BRO,0x100956F4,BmsReadyForCharging,0,8,Whether BMS is ready for charging
BSD,0x181C56F4,SingleBatteryMaxTemperature,48,8,Maximum temperature of power storage battery (°C)
BSD,0x181C56F4,SingleBatteryMaxVoltage,24,16,Maximum voltage of single power storage battery (V)
BSD,0x181C56F4,SingleBatteryMinTemperature,40,8,Minimum temperature of power storage battery (°C)
BSD,0x181C56F4,SingleBatteryMinVoltage,8,16,Minimum voltage of single power storage battery (V)
BSD,0x181C56F4,SuspendStateOfChargeSOC,0,8,Suspend state-of-charge SOC (%)
BSM,0x181356F4,BatteryCellVoltageState,40,2,Voltage state of battery cell
BSM,0x181356F4,BatteryChargingOvercurrent,44,2,Charging overcurrent of power storage battery
BSM,0x181356F4,BatteryExcessTemperature,46,2,Excess temperature of power storage battery
BSM,0x181356F4,BatteryHighestTemp,8,8,Highest temperature of power storage battery
BSM,0x181356F4,BatteryHighestTempSerNo,16,8,Serial number of the highest temperature detection point
BSM,0x181356F4,BatteryInsulationState,48,2,Insulation state of power storage battery
BSM,0x181356F4,BatteryLowestTemp,24,8,The lowest temperature of power storage battery
BSM,0x181356F4,BatteryLowestTempSerNo,32,8,Serial number of the lowest temperature detection point of power storage battery
BSM,0x181356F4,BatteryOutputConnectorState,50,2,Connection state of output connector of power storage battery set
BSM,0x181356F4,ChargingPermissible,52,2,Charging permissible
BSM,0x181356F4,SingleBatteryHighestVoltageSerNo,0,8,Serial number of the highest voltage of single power storage battery
BSM,0x181356F4,StateOfCharge,42,2,State-of-charge SOC of power storage battery for complete vehicle
BST,0x101956F4,AbnormalVoltageError,26,2,Whether voltage is abnormal
BST,0x101956F4,BatterySetOverTemp,16,2,Battery set over-temperature
BST,0x101956F4,BmsConnectorOverTemp,12,2,BMS component and output connector over-temperature
BST,0x101956F4,ChargerSuspendsActively,6,2,Wether charger actively suspends
BST,0x101956F4,ChargingConnectorFault,14,2,Charging connector fault
BST,0x101956F4,ExcessiveCurrentError,24,2,Whether current exceeds the demand value
BST,0x101956F4,HighVoltageRelayFault,18,2,High voltage relay fault
BST,0x101956F4,InsulationFault,8,2,Wether insulation fault
BST,0x101956F4,OtherFaults,22,2,Other faults
BST,0x101956F4,OutputConnectorOverTemp,10,2,Output connector over-temperature
BST,0x101956F4,RequiredSocTargetValue,0,2,Wether the required SOC target value reached
BST,0x101956F4,SettingValueOfSingleVoltage,4,2,Wether the setting value of single voltage reached
BST,0x101956F4,SettingValueOfTotalVoltage,2,2,Wether the setting value of total voltage reached
BST,0x101956F4,VoltageDetectionFault,20,2,Voltage detection fault at check point 2
CCS,0x1812F456,ChargingPermissible,48,2,Charging permissible
CCS,0x1812F456,CumulativeChargingTime,32,16,Cumulative charging time (min)
CCS,0x1812F456,CurrentOutputValue,16,16,Current output value (A)
CCS,0x1812F456,VoltageOutputValue,0,16,Voltage output value (V)
CEM,0x81FF456,Timeout_BCP,8,2,Timeout of battery charging parameter message
CEM,0x81FF456,Timeout_BCS,16,2,Timeout of overall battery charging state message
CEM,0x81FF456,Timeout_BRM,0,2,Timeout of BMS and vehicle recognition message
CEM,0x81FF456,Timeout_BRO,10,2,Timeout of BMS's charging preparation completion message
